Proc-Type,Sched,Forks,wall,user,system,CPU,i-switched,v-switched,wait-time 
CPU,SCHED_OTHER,1,11.81,3.11,2.52,47%,16763,2,6.18
IO,SCHED_OTHER,1,0.28,0,0,2%,1,199,0.28
MIX,SCHED_OTHER,1,12.42,3.11,2.81,47%,18089,194,6.5
CPU,SCHED_FIFO,1,5.57,5.38,0.07,97%,286,2,0.12
IO,SCHED_FIFO,1,0.27,0,0,2%,2,198,0.27
MIX,SCHED_FIFO,1,5.94,5.43,0.21,95%,992,193,0.3
CPU,SCHED_RR,1,5.4,5.15,0.1,97%,443,2,0.15
IO,SCHED_RR,1,0.28,0,0,2%,1,200,0.28
MIX,SCHED_RR,1,5.98,5.43,0.22,94%,990,198,0.33
CPU,SCHED_OTHER,8,65.1,15.85,3.9,30%,59562,6,45.35
IO,SCHED_OTHER,8,0.32,0,0,1%,5,197,0.32
MIX,SCHED_OTHER,8,51.83,10.59,3.14,26%,41843,1391,38.1
CPU,SCHED_FIFO,8,30.01,28.53,0.53,96%,1881,7,0.95
IO,SCHED_FIFO,8,6.02,0,0,0%,1,198,6.02
MIX,SCHED_FIFO,8,28.97,23.16,0.71,82%,2450,869,5.1
CPU,SCHED_RR,8,53.57,33.16,1.12,64%,4101,8,19.29
IO,SCHED_RR,8,0.27,0,0,2%,1,201,0.27
MIX,SCHED_RR,8,39.14,27.5,1.09,73%,3958,1657,10.55
CPU,SCHED_OTHER,64,382.06,98.37,8.45,27%,317729,39,275.24
IO,SCHED_OTHER,64,0.43,0,0,0%,14,194,0.43
MIX,SCHED_OTHER,64,375.29,104.43,8.96,30%,334254,14992,261.9
CPU,SCHED_FIFO,64,280.08,265.04,5.9,96%,18128,56,9.14
IO,SCHED_FIFO,64,6.04,0,0,0%,2,198,6.04
MIX,SCHED_FIFO,64,378.95,320.79,8.82,86%,26727,6734,49.34
CPU,SCHED_RR,64,788.97,502.9,17.29,65%,57606,59,268.78
IO,SCHED_RR,64,0.35,0,0.01,2%,1,199,0.34
MIX,SCHED_RR,64,572.66,475.26,13.6,85%,45232,14755,83.8
CPU,SCHED_OTHER,128,1640.09,487.5,35.91,31%,1577494,88,1116.68
IO,SCHED_OTHER,128,0.73,0,0,1%,13,199,0.73
MIX,SCHED_OTHER,128,1610.53,444.16,33.69,29%,1442414,27164,1132.68
CPU,SCHED_FIFO,128,1104.29,1049.27,23.49,97%,73507,122,31.53
IO,SCHED_FIFO,128,7.01,0,0,0%,2,199,7.01
MIX,SCHED_FIFO,128,834.97,737.81,19.45,90%,58576,14619,77.71
CPU,SCHED_RR,128,1533.29,1013.97,34.59,68%,115289,118,484.73
IO,SCHED_RR,128,0.36,0,0,2%,4,201,0.36
MIX,SCHED_RR,128,1144.33,916.73,27.26,82%,88250,28346,200.34
